epoch,train_loss,wb_nmse_db,cost_nmse_db,wb_mae_db,cost_mae_db,wb_mae_los,cost_mae_los,wb_mae_nlos,cost_mae_nlos,tau_mae_ns,cov_acc,mae_LOS_unet,mae_LOS_cost,bias_LOS_unet,bias_LOS_cost,mae_1wall_unet,mae_1wall_cost,bias_1wall_unet,bias_1wall_cost,mae_2wall_unet,mae_2wall_cost,bias_2wall_unet,bias_2wall_cost,mae_3+wall_unet,mae_3+wall_cost,bias_3+wall_unet,bias_3+wall_cost
1,1.1897628594606793,-15.529644485116481,-20.929058053519537,1.632921369067168,1.8647194184120812,1.31678203167881,1.8792390618589627,1.7436561268623867,1.8596335968909667,6.845397174573547,0.9745478440708202,1.31678203167881,1.8792390618589627,0.8114872840839983,1.7016425712716736,1.5039297068855286,1.6055281433288557,0.16087905936492336,0.4258080526866351,1.753375415079133,1.809303510599668,-0.18765270294209876,-0.3905258880686088,2.1686634869899324,2.3901567590989203,-0.8138470625597644,-1.451993374052252
2,0.933553876214079,-20.12235243767716,-20.929058053519537,1.3422664868702527,1.8647194184120812,1.04078812346448,1.8792390618589627,1.4478659243515917,1.8596335968909667,5.187956915005019,0.9999995042270702,1.04078812346448,1.8792390618589627,0.32364945836999176,1.7016425712716736,1.2811356270294452,1.6055281433288557,0.00741221157735107,0.4258080526866351,1.463203347085427,1.809303510599668,-0.08264666143846224,-0.3905258880686088,1.73213863150307,2.3901567590989203,-0.33101234978671784,-1.451993374052252
3,0.8737982481395294,-21.484766426435968,-20.929058053519537,1.2226848326865516,1.8647194184120812,0.9464422622762435,1.8792390618589627,1.3194448503434502,1.8596335968909667,4.5007054952077485,1.0,0.9464422622762435,1.8792390618589627,0.0917364972546435,1.7016425712716736,1.1746132817875707,1.6055281433288557,-0.06902150005839115,0.4258080526866351,1.3357025059885572,1.809303510599668,-0.1096316764364805,-0.3905258880686088,1.5625073552656827,2.3901567590989203,-0.26766901602474086,-1.451993374052252
4,0.8303367470791193,-22.04657808522679,-20.929058053519537,1.1636432250053874,1.8647194184120812,0.902046972358584,1.8792390618589627,1.25527305374094,1.8596335968909667,4.189762065556936,1.0,0.902046972358584,1.8792390618589627,0.017743284567339243,1.7016425712716736,1.1202240954919405,1.6055281433288557,-0.058478172771905555,0.4258080526866351,1.2748961999128767,1.809303510599668,-0.08219806071725398,-0.3905258880686088,1.4760268785963995,2.3901567590989203,-0.1747055774614728,-1.451993374052252
5,0.7896720655127983,-22.14244554268886,-20.929058053519537,1.1264515921527298,1.8647194184120812,0.8731257819211274,1.8792390618589627,1.215184515435361,1.8596335968909667,3.9698843697778585,1.0,0.8731257819211274,1.8792390618589627,-0.0025499571224645834,1.7016425712716736,1.0857752077041667,1.6055281433288557,-0.05409950572998863,0.4258080526866351,1.2386291727306062,1.809303510599668,-0.06504963223482506,-0.3905258880686088,1.420594387664167,2.3901567590989203,-0.1154979186120536,-1.451993374052252
6,0.7610935064214231,-22.30468109097233,-20.929058053519537,1.098101346071016,1.8647194184120812,0.853279859133312,1.8792390618589627,1.1838554371857593,1.8596335968909667,3.78598777826082,1.0,0.853279859133312,1.8792390618589627,-0.031803141964776974,1.7016425712716736,1.0584632502351328,1.6055281433288557,-0.05449320814505795,0.4258080526866351,1.2082386141709427,1.809303510599668,-0.05980430661045119,-0.3905258880686088,1.3806898117274249,2.3901567590989203,-0.08900688386429645,-1.451993374052252
7,0.7405333380191335,-22.38695299720643,-20.929058053519537,1.075712883945837,1.8647194184120812,0.8386989741814569,1.8792390618589627,1.1587322188575082,1.8596335968909667,3.629633120251046,1.0,0.8386989741814569,1.8792390618589627,-0.06267558678650328,1.7016425712716736,1.0367264903599769,1.6055281433288557,-0.0633042008928873,0.4258080526866351,1.1827227558913365,1.809303510599668,-0.07224870238578486,-0.3905258880686088,1.3498997877520702,2.3901567590989203,-0.09166961111203202,-1.451993374052252
8,0.7211935023108114,-22.41028099461245,-20.929058053519537,1.0587827066221822,1.8647194184120812,0.8274827283050366,1.8792390618589627,1.13980059965247,1.8596335968909667,3.508165259653911,1.0,0.8274827283050366,1.8792390618589627,-0.059333546214582845,1.7016425712716736,1.0217419459493202,1.6055281433288557,-0.061098108496485636,0.4258080526866351,1.1643481710836525,1.809303510599668,-0.07384470600675079,-0.3905258880686088,1.3230240792781585,2.3901567590989203,-0.07351067470173833,-1.451993374052252
9,0.7100136125130774,-22.524864558938134,-20.929058053519537,1.046210463726994,1.8647194184120812,0.8192412993379024,1.8792390618589627,1.1257113884180576,1.8596335968909667,3.3904809332066064,1.0,0.8192412993379024,1.8792390618589627,-0.06598347979414104,1.7016425712716736,1.0098457809293044,1.6055281433288557,-0.06586751640830579,0.4258080526866351,1.1500829219941124,1.809303510599668,-0.08079093280220088,-0.3905258880686088,1.3051618314004843,2.3901567590989203,-0.06806057144450421,-1.451993374052252
10,0.6986565473708005,-22.60523308937408,-20.929058053519537,1.035856714747873,1.8647194184120812,0.8125226788062113,1.8792390618589627,1.1140843678161978,1.8596335968909667,3.2865226501161873,1.0,0.8125226788062113,1.8792390618589627,-0.07441069224217892,1.7016425712716736,1.0003170295781878,1.6055281433288557,-0.06997187356793447,0.4258080526866351,1.1389043440687237,1.809303510599668,-0.0867089360051755,-0.3905258880686088,1.2891106679212192,2.3901567590989203,-0.06155801203544001,-1.451993374052252
