epoch,train_loss,wb_nmse_db,cost_nmse_db,wb_mae_db,cost_mae_db,wb_mae_los,cost_mae_los,wb_mae_nlos,cost_mae_nlos,tau_mae_ns,cov_acc
1,0.36101628557546905,-20.704812864246833,-20.929058053519537,1.8035595985095854,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.7770512104220983,1.8596335968909667,6.721654399637711,0.9997929321729749
2,0.2816788081335247,-20.87680821592334,-20.929058053519537,1.6353752552817444,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.549956603265672,1.8596335968909667,5.0767185317910535,0.9999999449141189
3,0.26895459354031387,-21.178615299544077,-20.929058053519537,1.5219676473080466,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.3968254946163834,1.8596335968909667,4.4101021264003935,1.0
4,0.2551931565096232,-21.323062433987285,-20.929058053519537,1.453471901184385,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.3043376121515515,1.8596335968909667,4.016576937389718,1.0
5,0.24765656584544302,-21.34927134157927,-20.929058053519537,1.413236674849307,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.250009108466665,1.8596335968909667,3.699104815183564,1.0
6,0.24331050565204035,-21.380232293676503,-20.929058053519537,1.3898933760095589,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.2184893160850117,1.8596335968909667,3.472920989301661,1.0
7,0.24212897501697608,-21.395043026249226,-20.929058053519537,1.3731081589034317,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.1958247006721172,1.8596335968909667,3.305771874176466,1.0
8,0.23584886505823274,-21.40496991083081,-20.929058053519537,1.3610680499231773,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.179567271377969,1.8596335968909667,3.2029654058738735,1.0
9,0.23179059854913706,-21.409018832300823,-20.929058053519537,1.3478937708513832,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.1617784179673845,1.8596335968909667,3.1185275923043814,1.0
10,0.2264721308051464,-21.415593657836705,-20.929058053519537,1.3399385381691722,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.1510367017402459,1.8596335968909667,3.046971450213491,1.0
11,0.22683357051993966,-21.414397567190782,-20.929058053519537,1.3346654043300918,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.1439165239459517,1.8596335968909667,2.996300329800547,1.0
12,0.22560580776809355,-21.422763001663014,-20.929058053519537,1.3278811756884579,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.134755977271664,1.8596335968909667,2.9410580082490556,1.0
13,0.2228223371053861,-21.41606312862878,-20.929058053519537,1.3222553755832493,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.1271596096304288,1.8596335968909667,2.8951695085862914,1.0
14,0.22011497560283338,-21.422818625443803,-20.929058053519537,1.317919369639042,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.1213048270711479,1.8596335968909667,2.8595250548008115,1.0
15,0.21720592440896086,-21.420715040032768,-20.929058053519537,1.3141491550831157,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.1162140100712137,1.8596335968909667,2.8150698510318026,1.0
16,0.215781545246336,-21.426690663505134,-20.929058053519537,1.3107005646082468,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.1115574686886078,1.8596335968909667,2.773517362477547,1.0
17,0.21695602744387377,-21.427299924088196,-20.929058053519537,1.3072148522745402,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.1068508195531521,1.8596335968909667,2.738725002922306,1.0
18,0.21117819030685114,-21.438810003731117,-20.929058053519537,1.3045572606234774,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.1032623492503295,1.8596335968909667,2.705343049355793,1.0
19,0.2111667298076385,-21.429504897566257,-20.929058053519537,1.3026925140339545,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.1007444217401334,1.8596335968909667,2.6800405247547134,1.0
20,0.20912526456457614,-21.43859022283877,-20.929058053519537,1.300024339007987,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.097141673206144,1.8596335968909667,2.6627461273317303,1.0
21,0.20602729109650483,-21.44560856937316,-20.929058053519537,1.2977122653692639,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.094019742697523,1.8596335968909667,2.6350850628601514,1.0
22,0.20548304097747114,-21.449983505444656,-20.929058053519537,1.297191587165805,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.093316677678762,1.8596335968909667,2.6182324696964305,1.0
23,0.20451512093578436,-21.450905419607604,-20.929058053519537,1.2954065563015988,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.0909064043473826,1.8596335968909667,2.6008512457355266,1.0
24,0.20506921948508666,-21.45123688407782,-20.929058053519537,1.2937635110173415,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.0886878449322197,1.8596335968909667,2.594067673390523,1.0
25,0.20295878827894637,-21.452161162018676,-20.929058053519537,1.2934301635418557,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.0882377430308239,1.8596335968909667,2.5904744325562072,1.0
26,0.20267579443618278,-21.4537041424579,-20.929058053519537,1.2922967297936174,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.0867072876096524,1.8596335968909667,2.585769447608975,1.0
27,0.20052291641166495,-21.454397150664523,-20.929058053519537,1.2917088941546553,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.0859135548641663,1.8596335968909667,2.5806135786999866,1.0
28,0.20182589522230066,-21.455308082835934,-20.929058053519537,1.2914970743096692,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.0856275439553118,1.8596335968909667,2.5762735187792174,1.0
29,0.20067694237193476,-21.455636322496115,-20.929058053519537,1.291180708778464,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.0852003656142994,1.8596335968909667,2.573418673195133,1.0
30,0.2006726917215633,-21.45599264522613,-20.929058053519537,1.2909636815962808,1.8647194184120812,1.8792390618589627,1.8792390618589627,1.0849073097282136,1.8596335968909667,2.573357101812259,1.0
