scene,model,n_pairs,n_valid,frac_valid,mean_abs,median_abs,p95_abs,max_abs,n_asym_nopath
random_000,unet,435,435,1.0,1.917720913887024,0.663543701171875,8.74943389892578,12.310813903808594,0
random_000,sionna,435,435,1.0,0.7271204590797424,0.44634246826171875,2.4918075561523394,10.050468444824219,0
random_001,unet,435,435,1.0,2.75272798538208,1.7534103393554688,8.711648559570309,10.780998229980469,0
random_001,sionna,435,435,1.0,1.0536742210388184,0.5992050170898438,3.6458724975585923,11.650260925292969,0
random_002,unet,435,435,1.0,2.7289695739746094,1.2911376953125,9.575135040283199,14.597434997558594,0
random_002,sionna,435,435,1.0,1.0580798387527466,0.5191192626953125,4.340190124511694,12.038108825683594,0
random_003,unet,435,435,1.0,2.80379319190979,1.075897216796875,10.162373352050778,14.790184020996094,0
random_003,sionna,435,435,1.0,1.1356709003448486,0.5065078735351562,4.656565856933593,11.79327392578125,0
random_004,unet,435,435,1.0,4.377735614776611,2.5167999267578125,13.994507598876933,19.529922485351562,0
random_004,sionna,435,435,1.0,0.8755489587783813,0.467010498046875,3.0994979858398364,10.659103393554688,0
random_005,unet,435,435,1.0,1.8826730251312256,0.7434768676757812,7.562601470947259,10.70556640625,0
random_005,sionna,435,435,1.0,0.7738166451454163,0.37293243408203125,2.6814323425292965,12.831779479980469,0
random_006,unet,435,435,1.0,2.5568482875823975,1.7110519409179688,8.164447021484369,12.634239196777344,0
random_006,sionna,435,435,1.0,1.0911962985992432,0.5454483032226562,4.395183563232419,10.443794250488281,0
random_007,unet,435,435,1.0,2.008988857269287,1.0510635375976562,6.967268371582028,14.066093444824219,0
random_007,sionna,435,435,1.0,0.7960075736045837,0.34918212890625,3.0937744140624983,9.41046142578125,0
random_008,unet,435,435,1.0,2.9711410999298096,1.4074935913085938,10.142752075195311,15.181411743164062,0
random_008,sionna,435,435,1.0,0.8528029918670654,0.42877960205078125,2.914320373535155,14.012886047363281,0
random_009,unet,435,435,1.0,2.5650241374969482,0.986541748046875,9.513202667236325,12.021881103515625,0
random_009,sionna,435,435,1.0,1.1857270002365112,0.500457763671875,6.093194580078119,11.900047302246094,0
ALL,unet,4350,4350,1.0,2.656562328338623,1.149810791015625,9.624312591552735,19.529922485351562,0
ALL,sionna,4350,4350,1.0,0.9549645185470581,0.46329498291015625,3.7337059020996097,14.012886047363281,0
