scene,i,j,pi_xyz,pj_xyz,unet_ij_db,unet_ji_db,unet_absdiff_db,unet_valid,sionna_ij_db,sionna_ji_db,sionna_absdiff_db,sionna_valid
random_000,0,1,"27.500,23.750,1.562","36.250,17.500,1.562",66.63235473632812,67.49211120605469,0.8597564697265625,1,65.26292419433594,65.1680679321289,0.09485626220703125,1
random_000,0,2,"27.500,23.750,1.562","35.000,13.750,2.188",70.7311019897461,70.17061614990234,0.56048583984375,1,70.24380493164062,69.91522216796875,0.328582763671875,1
random_000,0,3,"27.500,23.750,1.562","35.625,20.000,0.938",65.63192749023438,66.10018157958984,0.46825408935546875,1,64.1768569946289,64.67321014404297,0.4963531494140625,1
random_000,0,4,"27.500,23.750,1.562","18.125,29.375,1.562",74.46833038330078,72.7065200805664,1.761810302734375,1,71.42675018310547,72.56275939941406,1.1360092163085938,1
random_000,0,5,"27.500,23.750,1.562","18.125,12.500,2.188",72.680908203125,82.08262634277344,9.401718139648438,1,72.78372955322266,72.48787689208984,0.2958526611328125,1
random_000,0,6,"27.500,23.750,1.562","26.250,36.250,0.312",67.6114730834961,68.11682891845703,0.5053558349609375,1,67.15494537353516,66.6875,0.46744537353515625,1
random_000,0,7,"27.500,23.750,1.562","23.125,10.625,0.312",70.49246215820312,81.62642669677734,11.133964538574219,1,71.86158752441406,71.43339538574219,0.428192138671875,1
random_000,0,8,"27.500,23.750,1.562","28.125,1.250,2.188",74.53157806396484,86.84239196777344,12.310813903808594,1,75.20906066894531,74.45492553710938,0.7541351318359375,1
random_000,0,9,"27.500,23.750,1.562","1.250,31.875,0.312",79.61045837402344,86.42788696289062,6.8174285888671875,1,73.54212951660156,73.2615966796875,0.2805328369140625,1
random_000,0,10,"27.500,23.750,1.562","25.625,33.750,1.562",66.11892700195312,66.26900482177734,0.15007781982421875,1,64.07362365722656,64.07392120361328,0.00029754638671875,1
random_000,0,11,"27.500,23.750,1.562","29.375,6.250,1.562",72.34626770019531,82.1784439086914,9.832176208496094,1,70.12825775146484,69.81867980957031,0.30957794189453125,1
random_000,0,12,"27.500,23.750,1.562","31.875,11.250,0.938",70.2597885131836,73.28907775878906,3.0292892456054688,1,69.17486572265625,68.9808578491211,0.19400787353515625,1
random_000,0,13,"27.500,23.750,1.562","24.375,10.000,1.562",71.19398498535156,81.82362365722656,10.629638671875,1,70.1363754272461,70.01139831542969,0.12497711181640625,1
random_000,0,14,"27.500,23.750,1.562","30.000,16.875,0.938",66.04568481445312,66.95027923583984,0.9045944213867188,1,65.2398910522461,65.26249694824219,0.02260589599609375,1
random_000,0,15,"27.500,23.750,1.562","25.000,35.625,0.938",67.28361511230469,67.82669067382812,0.5430755615234375,1,67.2309799194336,66.36156463623047,0.869415283203125,1
random_000,0,16,"27.500,23.750,1.562","31.250,18.750,1.562",66.35841369628906,65.63660430908203,0.7218093872070312,1,65.26788330078125,65.291259765625,0.02337646484375,1
random_000,0,17,"27.500,23.750,1.562","30.625,12.500,0.312",68.81236267089844,72.17247009277344,3.360107421875,1,68.27611541748047,67.82783508300781,0.44828033447265625,1
random_000,0,18,"27.500,23.750,1.562","6.250,17.500,1.562",77.63681030273438,88.52279663085938,10.885986328125,1,75.9606704711914,75.79351043701172,0.1671600341796875,1
random_000,0,19,"27.500,23.750,1.562","8.750,11.250,1.562",81.8742904663086,88.30255126953125,6.428260803222656,1,80.1219482421875,77.1982650756836,2.9236831665039062,1
random_000,0,20,"27.500,23.750,1.562","38.125,23.750,2.188",66.9072265625,65.91077423095703,0.9964523315429688,1,66.6804428100586,66.65052032470703,0.0299224853515625,1
random_000,0,21,"27.500,23.750,1.562","1.250,10.625,0.938",78.78591918945312,90.91964721679688,12.13372802734375,1,75.41238403320312,74.53856658935547,0.8738174438476562,1
random_000,0,22,"27.500,23.750,1.562","10.625,6.875,0.312",86.06056213378906,87.23355102539062,1.1729888916015625,1,78.2105712890625,77.56417846679688,0.646392822265625,1
random_000,0,23,"27.500,23.750,1.562","25.625,2.500,0.312",74.50943756103516,85.23722839355469,10.727790832519531,1,71.29632568359375,71.02912902832031,0.2671966552734375,1
random_000,0,24,"27.500,23.750,1.562","28.125,26.875,0.938",56.79106903076172,57.12467956542969,0.33361053466796875,1,56.1223030090332,56.13824462890625,0.015941619873046875,1
random_000,0,25,"27.500,23.750,1.562","28.750,32.500,0.938",65.13888549804688,65.45216369628906,0.3132781982421875,1,63.680076599121094,64.5243911743164,0.8443145751953125,1
random_000,0,26,"27.500,23.750,1.562","7.500,31.875,0.312",75.59453582763672,84.2886962890625,8.694160461425781,1,71.81767272949219,72.0940933227539,0.27642059326171875,1
random_000,0,27,"27.500,23.750,1.562","28.750,12.500,0.312",68.80258178710938,78.95559692382812,10.15301513671875,1,68.16191864013672,67.5499038696289,0.6120147705078125,1
random_000,0,28,"27.500,23.750,1.562","5.000,32.500,2.188",76.55537414550781,85.9225845336914,9.367210388183594,1,70.24237823486328,70.458251953125,0.21587371826171875,1
random_000,0,29,"27.500,23.750,1.562","28.125,33.125,0.312",65.61985778808594,65.90851593017578,0.28865814208984375,1,64.38631439208984,64.8463363647461,0.46002197265625,1
random_000,1,2,"36.250,17.500,1.562","35.000,13.750,2.188",58.78883743286133,58.863624572753906,0.07478713989257812,1,58.56132125854492,58.552894592285156,0.008426666259765625,1
random_000,1,3,"36.250,17.500,1.562","35.625,20.000,0.938",54.80426025390625,55.69851303100586,0.8942527770996094,1,54.9949836730957,54.99814987182617,0.00316619873046875,1
random_000,1,4,"36.250,17.500,1.562","18.125,29.375,1.562",85.5427474975586,82.61036682128906,2.9323806762695312,1,78.55424499511719,79.00532531738281,0.451080322265625,1
random_000,1,5,"36.250,17.500,1.562","18.125,12.500,2.188",70.83210754394531,71.42840576171875,0.5962982177734375,1,70.16983795166016,70.50749969482422,0.3376617431640625,1
random_000,1,6,"36.250,17.500,1.562","26.250,36.250,0.312",72.10706329345703,73.39939880371094,1.2923355102539062,1,71.26671600341797,71.95864868164062,0.6919326782226562,1
random_000,1,7,"36.250,17.500,1.562","23.125,10.625,0.312",69.05883026123047,69.48051452636719,0.42168426513671875,1,69.10719299316406,69.01028442382812,0.0969085693359375,1
random_000,1,8,"36.250,17.500,1.562","28.125,1.250,2.188",70.99079132080078,70.43964385986328,0.5511474609375,1,68.93196868896484,69.50772857666016,0.5757598876953125,1
