scene,i,j,pi_xyz,pj_xyz,unet_ij_tau_rms_ns,unet_ji_tau_rms_ns,unet_absdiff_tau_rms_ns,unet_valid,sionna_ij_tau_rms_ns,sionna_ji_tau_rms_ns,sionna_absdiff_tau_rms_ns,sionna_valid
random_000,0,15,"27.500,23.750,1.562","25.000,35.625,0.938",12.442461013793945,12.100702285766602,0.34175872802734375,1,18.36688232421875,18.0418643951416,0.32501792907714844,1
random_000,0,16,"27.500,23.750,1.562","31.250,18.750,1.562",9.386112213134766,9.420838356018066,0.03472614288330078,1,17.850351333618164,17.11442756652832,0.7359237670898438,1
random_000,0,17,"27.500,23.750,1.562","30.625,12.500,0.312",11.890813827514648,14.131857872009277,2.241044044494629,1,21.76080894470215,22.650049209594727,0.8892402648925781,1
random_000,0,18,"27.500,23.750,1.562","6.250,17.500,1.562",18.781150817871094,22.129432678222656,3.3482818603515625,1,28.412281036376953,28.179779052734375,0.23250198364257812,1
random_000,0,19,"27.500,23.750,1.562","8.750,11.250,1.562",21.771623611450195,26.265010833740234,4.493387222290039,1,38.5007209777832,35.93634033203125,2.564380645751953,1
random_000,0,20,"27.500,23.750,1.562","38.125,23.750,2.188",12.036886215209961,9.978096008300781,2.0587902069091797,1,22.03379249572754,21.65510368347168,0.3786888122558594,1
random_000,0,21,"27.500,23.750,1.562","1.250,10.625,0.938",17.537153244018555,22.937049865722656,5.399896621704102,1,23.338512420654297,23.519996643066406,0.18148422241210938,1
random_000,0,22,"27.500,23.750,1.562","10.625,6.875,0.312",21.887298583984375,27.589340209960938,5.7020416259765625,1,41.165130615234375,42.09555435180664,0.9304237365722656,1
random_000,0,23,"27.500,23.750,1.562","25.625,2.500,0.312",10.327207565307617,18.912508010864258,8.58530044555664,1,25.32623863220215,24.377666473388672,0.9485721588134766,1
random_000,0,24,"27.500,23.750,1.562","28.125,26.875,0.938",5.8599700927734375,5.882441520690918,0.02247142791748047,1,10.565214157104492,10.37796401977539,0.18725013732910156,1
random_000,0,25,"27.500,23.750,1.562","28.750,32.500,0.938",11.833015441894531,10.826543807983398,1.0064716339111328,1,19.31992530822754,18.63062286376953,0.6893024444580078,1
random_000,0,26,"27.500,23.750,1.562","7.500,31.875,0.312",14.949650764465332,20.57431411743164,5.624663352966309,1,23.46388816833496,24.99673843383789,1.5328502655029297,1
random_000,0,27,"27.500,23.750,1.562","28.750,12.500,0.312",11.78494930267334,15.222959518432617,3.4380102157592773,1,21.188982009887695,22.997802734375,1.8088207244873047,1
random_000,0,28,"27.500,23.750,1.562","5.000,32.500,2.188",15.104120254516602,20.87042999267578,5.76630973815918,1,15.13573169708252,17.543344497680664,2.4076128005981445,1
random_000,0,29,"27.500,23.750,1.562","28.125,33.125,0.312",11.439823150634766,11.401933670043945,0.03788948059082031,1,19.560739517211914,19.49878692626953,0.06195259094238281,1
random_000,1,2,"36.250,17.500,1.562","35.000,13.750,2.188",7.122004508972168,7.552155017852783,0.43015050888061523,1,9.56653118133545,9.22934627532959,0.3371849060058594,1
random_000,1,3,"36.250,17.500,1.562","35.625,20.000,0.938",4.9184675216674805,5.765159606933594,0.8466920852661133,1,5.939044952392578,6.269051551818848,0.33000659942626953,1
random_000,1,4,"36.250,17.500,1.562","18.125,29.375,1.562",26.883411407470703,20.1352481842041,6.748163223266602,1,32.35562515258789,33.29464340209961,0.9390182495117188,1
random_000,1,5,"36.250,17.500,1.562","18.125,12.500,2.188",19.560874938964844,15.933717727661133,3.627157211303711,1,25.65703773498535,24.803688049316406,0.8533496856689453,1
random_000,1,6,"36.250,17.500,1.562","26.250,36.250,0.312",12.603068351745605,11.926642417907715,0.6764259338378906,1,18.167617797851562,19.999990463256836,1.8323726654052734,1
random_000,1,7,"36.250,17.500,1.562","23.125,10.625,0.312",17.93655776977539,15.229938507080078,2.7066192626953125,1,21.8930606842041,22.396425247192383,0.5033645629882812,1
random_000,1,8,"36.250,17.500,1.562","28.125,1.250,2.188",12.730865478515625,12.587810516357422,0.14305496215820312,1,17.54633903503418,19.929529190063477,2.383190155029297,1
random_000,1,9,"36.250,17.500,1.562","1.250,31.875,0.312",24.03978729248047,19.276283264160156,4.7635040283203125,1,25.853721618652344,23.894611358642578,1.9591102600097656,1
random_000,1,10,"36.250,17.500,1.562","25.625,33.750,1.562",12.347352981567383,11.548751831054688,0.7986011505126953,1,17.265663146972656,21.408470153808594,4.1428070068359375,1
random_000,1,11,"36.250,17.500,1.562","29.375,6.250,1.562",13.564026832580566,13.744649887084961,0.18062305450439453,1,22.48308563232422,23.047359466552734,0.5642738342285156,1
random_000,1,12,"36.250,17.500,1.562","31.875,11.250,0.938",10.731071472167969,10.098394393920898,0.6326770782470703,1,17.92523765563965,16.878477096557617,1.0467605590820312,1
random_000,1,13,"36.250,17.500,1.562","24.375,10.000,1.562",16.934329986572266,14.49806022644043,2.436269760131836,1,23.533050537109375,22.822092056274414,0.7109584808349609,1
random_000,1,14,"36.250,17.500,1.562","30.000,16.875,0.938",9.771785736083984,9.576618194580078,0.19516754150390625,1,16.479345321655273,15.939594268798828,0.5397510528564453,1
random_000,1,15,"36.250,17.500,1.562","25.000,35.625,0.938",12.791411399841309,11.187439918518066,1.6039714813232422,1,18.509592056274414,19.73552703857422,1.2259349822998047,1
random_000,1,16,"36.250,17.500,1.562","31.250,18.750,1.562",8.093676567077637,8.396425247192383,0.3027486801147461,1,13.929019927978516,13.398700714111328,0.5303192138671875,1
random_000,1,17,"36.250,17.500,1.562","30.625,12.500,0.312",11.346365928649902,10.775882720947266,0.5704832077026367,1,19.50934600830078,18.050918579101562,1.4584274291992188,1
random_000,1,18,"36.250,17.500,1.562","6.250,17.500,1.562",17.45732307434082,14.413019180297852,3.0443038940429688,1,21.746421813964844,22.53275489807129,0.7863330841064453,1
random_000,1,19,"36.250,17.500,1.562","8.750,11.250,1.562",20.541446685791016,16.932706832885742,3.6087398529052734,1,24.137022018432617,25.193954467773438,1.0569324493408203,1
random_000,1,20,"36.250,17.500,1.562","38.125,23.750,2.188",8.284326553344727,7.9462385177612305,0.3380880355834961,1,14.466245651245117,10.548401832580566,3.917843818664551,1
random_000,1,21,"36.250,17.500,1.562","1.250,10.625,0.938",19.970176696777344,15.199785232543945,4.770391464233398,1,22.66852569580078,22.996170043945312,0.32764434814453125,1
random_000,1,22,"36.250,17.500,1.562","10.625,6.875,0.312",16.98124122619629,16.65421485900879,0.3270263671875,1,24.416221618652344,25.697492599487305,1.281270980834961,1
random_000,1,23,"36.250,17.500,1.562","25.625,2.500,0.312",14.1265869140625,13.516873359680176,0.6097135543823242,1,21.25577163696289,21.738285064697266,0.482513427734375,1
random_000,1,24,"36.250,17.500,1.562","28.125,26.875,0.938",11.560622215270996,11.620789527893066,0.06016731262207031,1,20.965778350830078,22.128952026367188,1.1631736755371094,1
random_000,1,25,"36.250,17.500,1.562","28.750,32.500,0.938",11.852848052978516,12.492274284362793,0.6394262313842773,1,19.347585678100586,21.649978637695312,2.3023929595947266,1
random_000,1,26,"36.250,17.500,1.562","7.500,31.875,0.312",23.008480072021484,21.020965576171875,1.9875144958496094,1,32.307247161865234,35.39042663574219,3.083179473876953,1
random_000,1,27,"36.250,17.500,1.562","28.750,12.500,0.312",12.863943099975586,12.17941951751709,0.6845235824584961,1,20.00751304626465,20.185571670532227,0.17805862426757812,1
random_000,1,28,"36.250,17.500,1.562","5.000,32.500,2.188",22.99591827392578,19.89040756225586,3.105510711669922,1,27.706947326660156,25.367124557495117,2.339822769165039,1
random_000,1,29,"36.250,17.500,1.562","28.125,33.125,0.312",11.613655090332031,12.532684326171875,0.9190292358398438,1,21.148916244506836,20.816682815551758,0.3322334289550781,1
random_000,2,3,"35.000,13.750,2.188","35.625,20.000,0.938",8.150615692138672,10.054117202758789,1.9035015106201172,1,13.492862701416016,13.610833168029785,0.11797046661376953,1
random_000,2,4,"35.000,13.750,2.188","18.125,29.375,1.562",26.441139221191406,22.446203231811523,3.994935989379883,1,35.979923248291016,33.647029876708984,2.3328933715820312,1
random_000,2,5,"35.000,13.750,2.188","18.125,12.500,2.188",18.343873977661133,16.7578067779541,1.5860671997070312,1,23.92428207397461,23.655656814575195,0.26862525939941406,1
random_000,2,6,"35.000,13.750,2.188","26.250,36.250,0.312",12.015654563903809,9.663741111755371,2.3519134521484375,1,16.617082595825195,18.211091995239258,1.5940093994140625,1
random_000,2,7,"35.000,13.750,2.188","23.125,10.625,0.312",16.22661781311035,15.834243774414062,0.39237403869628906,1,25.08024787902832,23.903676986694336,1.1765708923339844,1
random_000,2,8,"35.000,13.750,2.188","28.125,1.250,2.188",11.46709156036377,12.526780128479004,1.0596885681152344,1,18.120820999145508,18.928232192993164,0.8074111938476562,1
random_000,2,9,"35.000,13.750,2.188","1.250,31.875,0.312",20.59083366394043,17.73379135131836,2.8570423126220703,1,28.64305877685547,27.389549255371094,1.253509521484375,1
random_000,2,10,"35.000,13.750,2.188","25.625,33.750,1.562",12.188243865966797,10.612985610961914,1.5752582550048828,1,18.342439651489258,19.285354614257812,0.9429149627685547,1
random_000,2,11,"35.000,13.750,2.188","29.375,6.250,1.562",12.41391658782959,13.125429153442383,0.711512565612793,1,19.164817810058594,20.09449577331543,0.9296779632568359,1
random_000,2,12,"35.000,13.750,2.188","31.875,11.250,0.938",5.9783525466918945,6.834903717041016,0.8565511703491211,1,13.143087387084961,12.775416374206543,0.36767101287841797,1
random_000,2,13,"35.000,13.750,2.188","24.375,10.000,1.562",15.18445873260498,14.840843200683594,0.3436155319213867,1,23.547094345092773,20.708009719848633,2.8390846252441406,1
random_000,2,14,"35.000,13.750,2.188","30.000,16.875,0.938",8.5308837890625,10.256139755249023,1.7252559661865234,1,17.122772216796875,15.956725120544434,1.1660470962524414,1
random_000,2,15,"35.000,13.750,2.188","25.000,35.625,0.938",12.335448265075684,9.551730155944824,2.7837181091308594,1,15.229113578796387,17.867097854614258,2.637984275817871,1
random_000,2,16,"35.000,13.750,2.188","31.250,18.750,1.562",8.1552152633667,10.877516746520996,2.722301483154297,1,17.646394729614258,16.4066162109375,1.2397785186767578,1
random_000,2,17,"35.000,13.750,2.188","30.625,12.500,0.312",7.048758506774902,8.289952278137207,1.2411937713623047,1,14.29898738861084,13.531220436096191,0.7677669525146484,1
random_000,2,18,"35.000,13.750,2.188","6.250,17.500,1.562",16.591150283813477,15.30610466003418,1.2850456237792969,1,24.3878116607666,22.869430541992188,1.518381118774414,1
